Date,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
2024-02-04,14.63,29.96,21.66,0.28,2.64,0.46,1.58,28.88,69.96,138.38
2024-02-05,19.77,37.12,25.99,0.3,4.18,0.13,1.92,28.67,72.29,127.58
2024-02-06,21.1,38.0,20.99,0.33,4.22,0.05,1.75,29.04,71.21,145.83
2024-02-07,19.41,33.29,17.54,0.24,3.51,0.26,2.21,28.83,70.88,147.17
2024-02-08,16.48,33.0,17.54,0.2,3.97,0.46,2.0,29.25,69.25,137.79
2024-02-09,18.26,31.92,21.41,0.26,2.43,0.21,2.62,29.04,70.79,83.62
2024-02-10,15.58,34.21,22.7,0.18,2.1,0.21,4.0,28.88,67.42,85.12
2024-02-11,14.02,44.33,33.79,0.25,1.72,0.01,4.25,28.46,66.33,53.42
2024-02-12,18.56,47.12,39.54,0.31,1.72,0.51,3.88,28.38,66.71,50.46
2024-02-13,16.92,46.58,38.66,0.26,1.3,0.42,4.21,28.46,67.21,48.62
2024-02-14,15.59,46.75,24.37,0.17,1.8,0.13,3.75,28.25,73.92,49.58
2024-02-15,12.15,37.33,22.49,0.13,1.72,0.13,4.0,29.25,67.58,54.96
2024-02-16,15.96,38.96,24.79,0.16,2.22,0.01,3.62,28.79,70.17,56.25
2024-02-17,12.94,36.79,21.95,0.19,1.8,0.13,4.17,28.46,68.75,94.62
2024-02-18,14.25,38.83,19.24,0.09,1.22,0.01,3.58,28.71,69.21,52.92
2024-02-19,10.77,29.08,14.95,0.11,2.55,0.01,3.42,29.21,71.12,85.33
2024-02-20,12.7,29.12,13.04,0.13,3.35,0.17,2.12,29.21,73.62,136.12
2024-02-21,8.97,22.17,18.12,0.15,2.47,0.17,2.5,29.58,69.08,116.71
2024-02-22,8.8,22.54,21.74,0.16,2.01,0.17,2.71,29.88,66.5,73.75
2024-02-23,9.82,21.96,16.91,0.13,2.3,0.3,2.96,28.79,68.08,85.96
2024-02-24,9.79,22.33,15.62,0.15,2.47,0.26,3.08,28.46,69.12,136.75
2024-02-25,12.0,27.92,15.7,0.13,2.65,0.17,3.71,29.17,68.58,97.67
2024-02-26,15.56,33.75,25.08,0.13,1.22,0.18,4.33,29.38,67.46,53.0
2024-02-27,11.64,38.29,23.2,0.14,1.35,0.17,4.25,29.04,67.17,42.58
2024-02-28,11.24,35.12,20.79,0.09,1.3,0.05,4.92,29.71,65.08,56.0
2024-02-29,12.92,37.0,25.62,0.1,1.43,0.09,4.33,29.46,63.0,46.92
2024-03-01,15.66,36.88,16.33,0.14,2.3,0.01,3.17,29.04,69.17,102.75
2024-03-02,14.13,34.75,18.37,0.14,1.3,0.01,4.12,29.5,68.08,44.21
2024-03-03,12.02,34.04,18.12,0.12,1.26,0.17,3.58,29.04,71.38,52.54
2024-03-04,13.63,37.54,20.45,0.16,3.18,0.21,2.96,29.58,67.0,89.75
2024-03-05,16.46,40.67,19.99,0.31,3.55,0.38,2.17,29.58,69.96,144.29
2024-03-06,23.1,41.12,19.87,0.33,5.47,0.01,0.83,29.75,71.54,166.58
2024-03-07,23.24,43.42,16.99,0.37,3.97,0.01,0.79,30.42,70.67,135.88
2024-03-08,23.41,39.58,15.24,0.3,3.47,0.05,1.92,29.12,73.33,98.21
2024-03-09,14.42,30.54,16.16,0.21,2.55,0.01,2.83,28.46,75.42,104.96
