,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD,Date,Time
1278,18.4,24.0,3.0,0.22,6.0,0.0,2,24.0,93,316,2024-02-23,06:00:00
1279,13.5,20.0,3.0,0.26,8.0,0.0,2,25.0,86,345,2024-02-23,07:00:00
1280,13.0,21.0,14.0,0.22,3.0,0.0,4,29.0,71,21,2024-02-23,08:00:00
1281,17.2,26.0,22.0,0.11,1.0,0.0,5,30.0,62,41,2024-02-23,09:00:00
1282,13.2,29.0,22.0,0.09,1.0,0.0,5,32.0,56,51,2024-02-23,10:00:00
1283,10.6,28.0,26.0,0.1,1.0,0.0,5,33.0,52,64,2024-02-23,11:00:00
1284,9.3,26.0,27.0,0.1,1.0,1.0,5,34.0,48,61,2024-02-23,12:00:00
1285,8.6,25.0,25.0,0.09,1.0,1.0,4,34.0,46,51,2024-02-23,13:00:00
1286,6.7,23.0,23.0,0.1,1.0,1.0,4,34.0,44,53,2024-02-23,14:00:00
1287,6.5,23.0,22.0,0.1,1.0,1.0,4,34.0,43,66,2024-02-23,15:00:00
1288,10.1,22.0,22.0,0.09,2.0,1.0,4,33.0,45,67,2024-02-23,16:00:00
1289,8.1,21.0,20.0,0.07,2.0,1.0,4,32.0,49,64,2024-02-23,17:00:00
1290,6.3,21.0,18.0,0.11,3.0,0.0,4,30.0,59,61,2024-02-23,18:00:00
1291,5.0,21.0,15.0,0.12,3.0,0.0,2,28.0,63,43,2024-02-23,19:00:00
1292,4.1,21.0,15.0,0.13,3.0,0.0,1,27.0,71,43,2024-02-23,20:00:00
1293,4.2,20.0,16.0,0.13,2.0,0.0,2,27.0,76,27,2024-02-23,21:00:00
1294,3.9,18.0,14.0,0.14,2.0,0.0,2,26.0,81,14,2024-02-23,22:00:00
1295,5.9,19.0,13.0,0.12,2.0,1.0,2,26.0,82,14,2024-02-23,23:00:00
1296,5.7,17.0,11.0,0.11,4.0,0.0,1,25.0,83,316,2024-02-24,00:00:00
1297,7.2,21.0,8.0,0.11,2.29,0.0,2,25.0,87,321,2024-02-24,01:00:00
1298,6.4,20.0,8.0,0.2,3.0,0.14,1,25.0,88,345,2024-02-24,02:00:00
1299,13.3,24.0,22.86,0.12,4.0,0.0,1,24.0,89,350,2024-02-24,03:00:00
1300,11.2,22.0,5.0,0.15,6.0,0.0,1,24.0,91,315,2024-02-24,04:00:00
1301,10.8,20.0,3.0,0.24,6.0,0.0,1,23.0,93,268,2024-02-24,05:00:00
1302,8.8,20.0,3.0,0.28,5.0,0.0,1,23.0,93,282,2024-02-24,06:00:00
1303,8.7,20.0,4.0,0.29,5.0,0.0,1,25.0,87,276,2024-02-24,07:00:00
1304,13.1,21.0,16.0,0.21,1.0,0.0,3,29.0,68,48,2024-02-24,08:00:00
1305,18.5,24.0,17.0,0.16,1.0,0.0,4,31.0,59,55,2024-02-24,09:00:00
1306,19.4,26.0,19.0,0.13,1.0,0.0,5,32.0,53,58,2024-02-24,10:00:00
1307,14.3,25.0,21.0,0.13,1.0,0.0,6,33.0,49,67,2024-02-24,11:00:00
1308,11.2,24.0,22.0,0.14,1.0,0.0,6,33.0,47,70,2024-02-24,12:00:00
1309,8.9,25.0,23.0,0.13,1.0,0.0,5,34.0,46,73,2024-02-24,13:00:00
1310,8.1,27.0,23.0,0.13,1.0,0.0,6,34.0,46,63,2024-02-24,14:00:00
1311,9.4,25.0,23.0,0.13,1.0,0.0,6,33.0,48,73,2024-02-24,15:00:00
1312,7.4,24.0,23.0,0.12,1.0,0.0,5,33.0,48,62,2024-02-24,16:00:00
1313,6.0,23.0,22.0,0.15,3.0,1.0,5,32.0,51,60,2024-02-24,17:00:00
1314,5.2,22.0,20.0,0.12,2.0,0.0,3,30.0,59,61,2024-02-24,18:00:00
1315,4.3,20.0,18.0,0.13,3.0,1.0,2,28.0,65,52,2024-02-24,19:00:00
1316,9.9,21.0,16.0,0.13,3.0,1.0,2,27.0,72,15,2024-02-24,20:00:00
1317,8.6,20.0,15.0,0.15,2.0,1.0,2,27.0,77,13,2024-02-24,21:00:00
1318,10.1,22.0,16.0,0.12,1.0,1.0,2,27.0,79,23,2024-02-24,22:00:00
1319,8.5,23.0,16.0,0.11,1.0,1.0,3,26.0,81,16,2024-02-24,23:00:00
1320,14.4,27.0,16.0,0.1,2.29,0.0,3,26.0,80,19,2024-02-25,00:00:00
1321,11.2,26.0,16.0,0.2,1.0,0.14,2,26.0,82,14,2024-02-25,01:00:00
1322,9.0,31.0,22.86,0.11,1.0,0.0,2,26.0,83,34,2024-02-25,02:00:00
1323,7.5,28.0,17.0,0.1,2.0,0.0,2,26.0,84,11,2024-02-25,03:00:00
1324,6.6,26.0,8.0,0.12,6.0,0.0,0,25.0,89,308,2024-02-25,04:00:00
1325,9.3,24.0,2.0,0.33,10.0,0.0,0,24.0,93,297,2024-02-25,05:00:00
1326,14.7,23.0,0.0,0.37,9.0,0.0,0,24.0,93,277,2024-02-25,06:00:00
1327,20.8,24.0,5.0,0.36,5.0,0.0,1,25.0,89,283,2024-02-25,07:00:00
1328,15.3,30.0,11.0,0.26,3.0,0.0,0,29.0,73,219,2024-02-25,08:00:00
1329,23.4,49.0,20.0,0.19,2.0,0.0,2,32.0,57,90,2024-02-25,09:00:00
1330,17.5,40.0,20.0,0.12,2.0,0.0,5,33.0,52,67,2024-02-25,10:00:00
1331,13.6,34.0,23.0,0.1,1.0,0.0,6,33.0,50,63,2024-02-25,11:00:00
1332,10.2,35.0,24.0,0.09,1.0,0.0,6,34.0,47,58,2024-02-25,12:00:00
1333,8.2,31.0,22.0,0.09,1.0,0.0,5,34.0,44,59,2024-02-25,13:00:00
1334,7.1,30.0,21.0,0.09,1.0,0.0,6,34.0,44,58,2024-02-25,14:00:00
1335,13.8,27.0,20.0,0.1,2.0,0.0,6,34.0,45,67,2024-02-25,15:00:00
1336,10.2,25.0,19.0,0.09,2.0,1.0,7,33.0,50,49,2024-02-25,16:00:00
1337,8.3,24.0,17.0,0.06,2.0,1.0,7,32.0,55,53,2024-02-25,17:00:00
1338,8.6,23.0,18.0,0.05,2.0,0.0,6,30.0,62,57,2024-02-25,18:00:00
1339,7.0,22.0,16.0,0.07,2.0,0.0,5,29.0,70,51,2024-02-25,19:00:00
1340,10.6,21.0,16.0,0.06,2.0,1.0,5,28.0,74,49,2024-02-25,20:00:00
1341,8.8,21.0,15.0,0.06,1.0,0.0,5,28.0,75,52,2024-02-25,21:00:00
1342,18.2,25.0,14.0,0.06,1.0,1.0,4,28.0,76,56,2024-02-25,22:00:00
1343,13.8,24.0,14.0,0.05,2.29,0.0,4,27.0,79,53,2024-02-25,23:00:00
1344,13.7,30.0,15.0,0.2,1.0,0.14,4,27.0,79,52,2024-02-26,00:00:00
1345,17.1,38.0,22.86,0.09,1.0,0.0,4,27.0,81,42,2024-02-26,01:00:00
1346,19.1,33.0,15.0,0.08,1.0,0.0,4,27.0,79,50,2024-02-26,02:00:00
1347,21.2,29.0,15.0,0.08,1.0,1.0,3,27.0,79,37,2024-02-26,03:00:00
1348,15.8,26.0,16.0,0.08,1.0,1.0,2,27.0,78,54,2024-02-26,04:00:00
1349,12.0,24.0,16.0,0.08,1.0,1.0,3,27.0,78,45,2024-02-26,05:00:00
1350,9.1,23.0,19.0,0.09,1.0,0.0,4,27.0,78,37,2024-02-26,06:00:00
1351,15.8,32.0,16.0,0.08,1.0,0.0,5,28.0,75,28,2024-02-26,07:00:00
1352,12.6,34.0,18.0,0.08,1.0,0.0,5,29.0,68,41,2024-02-26,08:00:00
1353,20.1,44.0,22.0,0.09,1.0,0.0,6,31.0,63,49,2024-02-26,09:00:00
1354,20.0,37.0,27.0,0.12,1.0,0.0,5,32.0,58,60,2024-02-26,10:00:00
1355,17.7,32.0,32.0,0.12,1.0,0.0,6,32.0,54,64,2024-02-26,11:00:00
1356,18.6,38.0,31.0,0.12,1.0,0.0,6,33.0,52,73,2024-02-26,12:00:00
1357,13.5,34.0,32.0,0.12,1.0,0.0,6,33.0,51,60,2024-02-26,13:00:00
1358,10.7,36.0,35.0,0.12,1.0,0.0,6,33.0,51,57,2024-02-26,14:00:00
1359,18.3,32.0,35.0,0.13,1.0,0.0,5,33.0,51,72,2024-02-26,15:00:00
1360,14.0,28.0,35.0,0.14,1.0,0.0,5,32.0,52,59,2024-02-26,16:00:00
1361,12.7,26.0,35.0,0.17,2.0,1.0,5,31.0,57,63,2024-02-26,17:00:00
1362,9.5,24.0,31.0,0.17,2.0,0.0,4,30.0,63,60,2024-02-26,18:00:00
1363,14.9,29.0,26.0,0.17,2.0,0.0,4,29.0,69,60,2024-02-26,19:00:00
1364,11.7,40.0,25.0,0.17,2.0,0.0,3,28.0,73,49,2024-02-26,20:00:00
1365,17.9,46.0,26.0,0.17,1.0,0.0,3,28.0,76,56,2024-02-26,21:00:00
1366,16.3,45.0,28.0,0.16,2.29,0.0,3,27.0,77,56,2024-02-26,22:00:00
1367,21.1,50.0,29.0,0.2,1.0,0.14,3,27.0,77,48,2024-02-26,23:00:00
1368,15.6,55.0,22.86,0.16,1.0,0.0,2,27.0,78,39,2024-02-27,00:00:00
1369,16.6,53.0,26.0,0.15,1.0,0.0,2,26.0,82,4,2024-02-27,01:00:00
1370,12.4,54.0,24.0,0.16,1.0,0.0,3,26.0,83,15,2024-02-27,02:00:00
1371,20.7,44.0,25.0,0.15,1.0,0.0,3,26.0,83,18,2024-02-27,03:00:00
1372,15.9,37.0,24.0,0.14,1.0,0.0,3,26.0,83,25,2024-02-27,04:00:00
1373,12.6,33.0,25.0,0.14,2.0,0.0,3,25.0,85,7,2024-02-27,05:00:00
1374,16.3,38.0,21.0,0.15,2.0,0.0,3,25.0,85,10,2024-02-27,06:00:00
1375,15.0,47.0,20.0,0.18,4.0,0.0,3,27.0,79,27,2024-02-27,07:00:00
1376,15.8,55.0,24.0,0.18,2.0,0.0,4,30.0,67,50,2024-02-27,08:00:00
1377,17.3,55.0,25.0,0.2,1.0,0.0,5,31.0,55,58,2024-02-27,09:00:00
1378,12.8,44.0,26.0,0.19,1.0,0.0,6,32.0,52,67,2024-02-27,10:00:00
1379,10.8,37.0,26.0,0.18,1.0,0.0,6,32.0,51,77,2024-02-27,11:00:00
1380,10.9,32.0,26.0,0.18,1.0,0.0,7,33.0,50,73,2024-02-27,12:00:00
1381,8.3,33.0,26.0,0.19,1.0,0.0,7,33.0,47,58,2024-02-27,13:00:00
1382,6.9,29.0,26.0,0.18,1.0,0.0,8,34.0,45,55,2024-02-27,14:00:00
1383,6.3,27.0,25.0,0.18,1.0,0.0,7,33.0,47,61,2024-02-27,15:00:00
1384,5.9,26.0,24.0,0.14,1.0,0.0,6,32.0,50,65,2024-02-27,16:00:00
1385,7.0,25.0,24.0,0.05,1.0,0.0,5,31.0,55,61,2024-02-27,17:00:00
1386,5.7,23.0,23.0,0.06,1.0,1.0,5,30.0,63,63,2024-02-27,18:00:00
1387,4.8,23.0,21.0,0.07,1.0,1.0,4,29.0,69,53,2024-02-27,19:00:00
1388,6.3,24.0,18.0,0.08,2.0,1.0,3,28.0,73,38,2024-02-27,20:00:00
1389,6.5,38.0,17.0,0.07,2.29,1.0,2,27.0,75,38,2024-02-27,21:00:00
1390,13.1,41.0,15.0,0.2,1.0,0.14,2,27.0,77,29,2024-02-27,22:00:00
1391,15.9,46.0,22.86,0.08,1.0,0.0,3,27.0,78,31,2024-02-27,23:00:00
1392,14.4,40.0,14.0,0.07,1.0,0.0,3,27.0,80,36,2024-02-28,00:00:00
1393,11.2,52.0,15.0,0.06,1.0,0.0,4,27.0,80,47,2024-02-28,01:00:00
1394,9.1,50.0,16.0,0.05,1.0,0.0,4,27.0,79,43,2024-02-28,02:00:00
1395,15.3,41.0,17.0,0.05,1.0,0.0,4,27.0,79,47,2024-02-28,03:00:00
1396,12.0,34.0,20.0,0.06,1.0,0.0,2,27.0,79,64,2024-02-28,04:00:00
1397,9.8,30.0,18.0,0.06,1.0,0.0,3,27.0,76,62,2024-02-28,05:00:00
1398,7.9,27.0,17.0,0.05,2.0,0.0,3,27.0,77,53,2024-02-28,06:00:00
1399,9.8,29.0,17.0,0.05,2.0,0.0,4,28.0,71,54,2024-02-28,07:00:00
1400,12.3,41.0,18.0,0.08,1.0,0.0,5,30.0,67,55,2024-02-28,08:00:00
1401,11.1,42.0,21.0,0.12,1.0,0.0,6,31.0,59,56,2024-02-28,09:00:00
1402,8.6,36.0,23.0,0.12,1.0,0.0,6,32.0,55,64,2024-02-28,10:00:00
1403,10.6,31.0,25.0,0.15,1.0,0.0,7,33.0,51,71,2024-02-28,11:00:00
1404,8.0,29.0,26.0,0.13,1.0,0.0,7,34.0,47,69,2024-02-28,12:00:00
1405,6.7,30.0,26.0,0.13,1.0,0.0,6,34.0,46,67,2024-02-28,13:00:00
1406,7.9,33.0,25.0,0.13,1.0,0.0,7,34.0,48,56,2024-02-28,14:00:00
1407,13.8,30.0,25.0,0.12,1.0,0.0,7,33.0,49,64,2024-02-28,15:00:00
1408,14.7,28.0,24.0,0.1,2.0,0.0,7,33.0,49,61,2024-02-28,16:00:00
1409,11.6,25.0,22.0,0.06,2.0,1.0,6,32.0,53,60,2024-02-28,17:00:00
1410,8.6,24.0,22.0,0.06,2.0,0.0,6,30.0,60,55,2024-02-28,18:00:00
1411,6.5,23.0,20.0,0.07,2.0,0.0,4,29.0,68,48,2024-02-28,19:00:00
1412,6.5,30.0,21.0,0.07,2.29,0.0,5,28.0,72,54,2024-02-28,20:00:00
1413,17.9,46.0,21.0,0.2,1.0,0.14,4,28.0,73,55,2024-02-28,21:00:00
1414,20.0,50.0,22.86,0.07,1.0,0.0,4,28.0,72,55,2024-02-28,22:00:00
1415,15.4,42.0,23.0,0.07,1.0,0.0,4,27.0,72,48,2024-02-28,23:00:00
1416,14.4,48.0,23.0,0.07,0.0,0.0,4,27.0,74,42,2024-02-29,00:00:00
1417,14.3,55.0,23.0,0.06,1.0,0.0,4,27.0,73,51,2024-02-29,01:00:00
1418,13.6,47.0,24.0,0.05,1.0,0.0,3,27.0,72,51,2024-02-29,02:00:00
1419,17.2,39.0,26.0,0.05,1.0,0.0,4,27.0,70,57,2024-02-29,03:00:00
1420,15.0,33.0,23.0,0.06,1.0,0.0,3,27.0,72,36,2024-02-29,04:00:00
1421,16.8,29.0,24.0,0.06,2.0,0.0,4,27.0,73,39,2024-02-29,05:00:00
1422,13.3,40.0,24.0,0.06,2.0,0.0,3,26.0,75,30,2024-02-29,06:00:00
1423,13.6,40.0,23.0,0.06,2.0,0.0,3,27.0,73,28,2024-02-29,07:00:00
1424,15.6,49.0,24.0,0.07,1.0,0.0,5,29.0,65,51,2024-02-29,08:00:00
1425,12.3,44.0,26.0,0.09,2.0,0.0,6,31.0,57,52,2024-02-29,09:00:00
1426,12.5,37.0,28.0,0.09,2.0,0.0,6,32.0,53,69,2024-02-29,10:00:00
1427,14.2,36.0,32.0,0.11,1.0,0.0,6,33.0,51,74,2024-02-29,11:00:00
1428,11.4,36.0,34.0,0.12,1.0,0.0,6,33.0,47,63,2024-02-29,12:00:00
1429,9.8,34.0,32.0,0.12,1.0,0.0,6,34.0,47,58,2024-02-29,13:00:00
1430,8.4,40.0,32.0,0.12,1.0,0.0,5,34.0,46,64,2024-02-29,14:00:00
1431,14.6,35.0,32.0,0.12,2.0,0.0,5,33.0,46,62,2024-02-29,15:00:00
1432,14.3,31.0,32.0,0.12,2.0,0.0,5,33.0,48,48,2024-02-29,16:00:00
1433,11.1,28.0,29.0,0.12,2.0,0.0,5,32.0,50,58,2024-02-29,17:00:00
1434,8.2,25.0,25.0,0.13,2.0,1.0,4,30.0,58,48,2024-02-29,18:00:00
1435,6.5,24.0,22.0,0.14,2.29,0.0,3,29.0,64,45,2024-02-29,19:00:00
1436,10.5,23.0,20.0,0.2,2.0,0.14,4,28.0,69,23,2024-02-29,20:00:00
1437,8.7,33.0,22.86,0.15,1.0,0.0,4,27.0,74,20,2024-02-29,21:00:00
1438,14.7,38.0,17.0,0.13,1.0,0.0,3,27.0,77,36,2024-02-29,22:00:00
1439,19.0,44.0,17.0,0.12,1.0,1.0,3,27.0,78,21,2024-02-29,23:00:00
1440,14.6,51.0,16.0,0.11,1.0,0.0,3,26.0,80,12,2024-03-01,00:00:00
1441,18.0,52.0,16.0,0.05,1.0,0.0,3,26.0,81,26,2024-03-01,01:00:00
1442,15.6,53.0,18.0,0.05,1.0,0.0,1,26.0,83,19,2024-03-01,02:00:00
1443,16.4,43.0,10.0,0.07,3.0,0.0,1,25.0,88,307,2024-03-01,03:00:00
1444,20.4,36.0,3.0,0.13,5.0,0.0,1,24.0,92,283,2024-03-01,04:00:00
1445,15.2,32.0,1.0,0.17,6.0,0.0,0,24.0,94,275,2024-03-01,05:00:00
1446,13.7,33.0,0.0,0.2,7.0,0.0,1,24.0,93,319,2024-03-01,06:00:00
1447,16.8,40.0,3.0,0.21,8.0,0.0,1,26.0,88,343,2024-03-01,07:00:00
1448,24.6,61.0,14.0,0.18,2.0,0.0,3,29.0,72,46,2024-03-01,08:00:00
1449,34.0,67.0,18.0,0.2,1.0,0.0,4,31.0,65,56,2024-03-01,09:00:00
1450,27.7,53.0,21.0,0.19,1.0,0.0,4,32.0,58,56,2024-03-01,10:00:00
1451,22.4,44.0,26.0,0.19,1.0,0.0,5,33.0,51,69,2024-03-01,11:00:00
1452,16.9,37.0,27.0,0.19,1.0,0.0,5,34.0,47,67,2024-03-01,12:00:00
1453,13.3,32.0,26.0,0.18,1.0,0.0,5,34.0,46,68,2024-03-01,13:00:00
1454,9.8,28.0,24.0,0.17,1.0,0.0,5,35.0,45,56,2024-03-01,14:00:00
1455,14.7,26.0,23.0,0.18,2.0,0.0,5,34.0,48,65,2024-03-01,15:00:00
1456,13.2,25.0,23.0,0.14,2.0,0.0,5,34.0,47,53,2024-03-01,16:00:00
1457,10.7,23.0,22.0,0.07,2.0,0.0,5,32.0,51,59,2024-03-01,17:00:00
1458,7.9,22.0,19.0,0.08,2.29,0.0,4,30.0,60,52,2024-03-01,18:00:00
1459,6.0,22.0,16.0,0.2,2.0,0.14,4,29.0,67,56,2024-03-01,19:00:00
1460,8.4,21.0,22.86,0.11,2.0,0.0,3,28.0,73,46,2024-03-01,20:00:00
1461,11.7,23.0,14.0,0.1,1.0,0.0,3,27.0,75,54,2024-03-01,21:00:00
1462,9.2,29.0,14.0,0.1,1.0,0.0,3,27.0,77,43,2024-03-01,22:00:00
1463,14.6,32.0,15.0,0.09,1.0,0.0,2,27.0,79,36,2024-03-01,23:00:00
1464,19.3,48.0,16.0,0.1,1.0,0.0,3,27.0,79,39,2024-03-02,00:00:00
1465,18.7,45.0,18.0,0.08,1.0,0.0,2,26.0,80,19,2024-03-02,01:00:00
1466,13.8,45.0,15.0,0.1,1.0,0.0,2,26.0,83,9,2024-03-02,02:00:00
1467,22.9,38.0,16.0,0.09,1.0,0.0,3,26.0,82,20,2024-03-02,03:00:00
1468,17.2,32.0,17.0,0.1,1.0,0.0,3,26.0,83,13,2024-03-02,04:00:00
1469,18.3,29.0,17.0,0.1,1.0,0.0,3,26.0,84,18,2024-03-02,05:00:00
1470,14.1,37.0,17.0,0.1,2.0,0.0,2,26.0,84,27,2024-03-02,06:00:00
1471,10.8,40.0,16.0,0.1,2.0,0.0,3,27.0,79,30,2024-03-02,07:00:00
1472,22.8,44.0,19.0,0.11,1.0,0.0,5,30.0,69,56,2024-03-02,08:00:00
1473,19.6,56.0,21.0,0.15,1.0,0.0,6,31.0,60,56,2024-03-02,09:00:00
1474,20.5,45.0,24.0,0.15,1.0,0.0,6,32.0,55,60,2024-03-02,10:00:00
1475,15.0,38.0,25.0,0.16,1.0,0.0,6,33.0,50,62,2024-03-02,11:00:00
1476,12.6,33.0,24.0,0.14,1.0,0.0,6,34.0,48,57,2024-03-02,12:00:00
1477,9.9,29.0,23.0,0.15,1.0,0.0,6,34.0,47,57,2024-03-02,13:00:00
1478,8.1,31.0,22.0,0.15,1.0,0.0,6,34.0,49,60,2024-03-02,14:00:00
1479,9.2,28.0,20.0,0.15,1.0,0.0,6,34.0,52,57,2024-03-02,15:00:00
1480,8.9,26.0,18.0,0.14,1.0,0.0,6,33.0,52,58,2024-03-02,16:00:00
1481,6.7,24.0,18.0,0.15,2.29,0.0,5,32.0,56,62,2024-03-02,17:00:00
1482,5.6,23.0,16.0,0.2,2.0,0.14,4,30.0,65,60,2024-03-02,18:00:00
1483,8.5,22.0,22.86,0.2,2.0,0.0,3,29.0,71,48,2024-03-02,19:00:00
1484,8.2,22.0,14.0,0.2,2.0,0.0,3,28.0,74,46,2024-03-02,20:00:00
1485,11.1,26.0,14.0,0.18,2.0,0.0,4,28.0,76,53,2024-03-02,21:00:00
1486,16.6,34.0,14.0,0.18,1.0,0.0,3,28.0,77,48,2024-03-02,22:00:00
1487,20.8,39.0,14.0,0.17,1.0,0.0,3,28.0,79,46,2024-03-02,23:00:00
1488,15.3,45.0,17.0,0.15,1.0,0.0,3,28.0,78,53,2024-03-03,00:00:00
1489,12.8,40.0,14.0,0.11,1.0,0.0,3,27.0,81,45,2024-03-03,01:00:00
1490,14.0,47.0,14.0,0.11,1.0,0.0,3,27.0,82,45,2024-03-03,02:00:00
1491,10.6,39.0,15.0,0.09,1.0,0.0,3,27.0,81,48,2024-03-03,03:00:00
1492,14.0,33.0,16.0,0.11,1.0,0.0,2,27.0,82,37,2024-03-03,04:00:00
1493,10.5,31.0,16.0,0.1,1.0,0.0,2,27.0,81,43,2024-03-03,05:00:00
1494,8.0,36.0,16.0,0.11,1.0,0.0,2,27.0,81,46,2024-03-03,06:00:00
1495,12.5,39.0,16.0,0.11,1.0,0.0,3,28.0,79,49,2024-03-03,07:00:00
1496,17.7,49.0,16.0,0.12,2.0,0.0,2,29.0,74,53,2024-03-03,08:00:00
1497,13.7,57.0,17.0,0.16,2.0,0.0,3,31.0,67,56,2024-03-03,09:00:00
1498,20.0,46.0,18.0,0.14,1.0,0.0,4,31.0,63,58,2024-03-03,10:00:00
1499,14.5,38.0,21.0,0.14,1.0,0.0,5,33.0,56,51,2024-03-03,11:00:00
1500,11.3,33.0,21.0,0.15,1.0,0.0,5,34.0,52,68,2024-03-03,12:00:00
1501,9.0,29.0,21.0,0.14,1.0,0.0,5,34.0,52,67,2024-03-03,13:00:00
1502,7.0,27.0,20.0,0.15,1.0,0.0,6,31.0,61,68,2024-03-03,14:00:00
1503,8.8,25.0,20.0,0.17,2.0,0.0,4,30.0,68,74,2024-03-03,15:00:00
1504,9.7,23.0,20.0,0.15,2.29,0.0,4,31.0,63,57,2024-03-03,16:00:00
1505,13.8,22.0,18.0,0.2,1.0,0.14,5,30.0,63,70,2024-03-03,17:00:00
1506,10.1,22.0,22.86,0.07,2.0,0.0,4,29.0,69,64,2024-03-03,18:00:00
1507,9.2,21.0,18.0,0.07,2.0,1.0,4,28.0,74,53,2024-03-03,19:00:00
1508,7.5,21.0,19.0,0.07,1.0,0.0,3,27.0,78,38,2024-03-03,20:00:00
1509,8.3,26.0,19.0,0.06,1.0,1.0,4,27.0,78,34,2024-03-03,21:00:00
1510,12.5,30.0,18.0,0.06,1.0,1.0,4,27.0,76,41,2024-03-03,22:00:00
1511,17.8,38.0,22.0,0.06,1.0,1.0,3,27.0,74,43,2024-03-03,23:00:00
1512,13.4,40.0,21.0,0.1,1.0,0.0,3,27.0,73,46,2024-03-04,00:00:00
1513,11.2,43.0,19.0,0.21,2.0,0.0,2,27.0,76,57,2024-03-04,01:00:00
1514,11.4,44.0,16.0,0.21,3.0,0.0,1,26.0,79,351,2024-03-04,02:00:00
1515,11.0,35.0,8.0,0.23,7.0,0.0,1,25.0,86,332,2024-03-04,03:00:00
1516,14.8,38.0,11.0,0.22,5.0,0.0,1,25.0,83,8,2024-03-04,04:00:00
1517,18.0,33.0,9.0,0.23,8.0,0.0,1,25.0,83,328,2024-03-04,05:00:00
1518,13.3,37.0,5.0,0.25,7.0,0.0,0,25.0,89,163,2024-03-04,06:00:00
1519,10.3,42.0,7.0,0.31,9.0,0.0,1,27.0,76,84,2024-03-04,07:00:00
1520,14.8,45.0,19.0,0.26,5.0,0.0,2,30.0,63,92,2024-03-04,08:00:00
1521,23.1,40.0,27.0,0.14,3.0,0.0,3,32.0,57,74,2024-03-04,09:00:00
1522,17.6,45.0,25.0,0.1,2.0,0.0,4,33.0,54,49,2024-03-04,10:00:00
1523,18.1,43.0,25.0,0.09,1.0,0.0,5,34.0,51,49,2024-03-04,11:00:00
1524,13.8,41.0,28.0,0.09,1.0,0.0,5,34.0,49,57,2024-03-04,12:00:00
1525,10.8,42.0,29.0,0.1,1.0,0.0,5,35.0,47,59,2024-03-04,13:00:00
1526,13.6,43.0,30.0,0.1,1.0,0.0,5,35.0,45,52,2024-03-04,14:00:00
1527,14.3,37.0,30.0,0.1,2.29,0.0,5,35.0,47,67,2024-03-04,15:00:00
1528,20.5,32.0,34.0,0.2,2.0,0.14,5,34.0,48,63,2024-03-04,16:00:00
1529,15.3,29.0,22.86,0.13,2.0,0.0,5,32.0,54,49,2024-03-04,17:00:00
1530,11.1,26.0,26.0,0.13,3.0,0.0,4,30.0,64,63,2024-03-04,18:00:00
1531,8.3,24.0,21.0,0.14,3.0,1.0,3,29.0,71,44,2024-03-04,19:00:00
1532,9.7,31.0,20.0,0.13,2.0,1.0,4,28.0,74,44,2024-03-04,20:00:00
1533,7.4,33.0,20.0,0.11,2.0,1.0,2,28.0,77,17,2024-03-04,21:00:00
1534,12.8,34.0,21.0,0.11,2.0,1.0,2,27.0,80,3,2024-03-04,22:00:00
1535,12.6,44.0,17.0,0.11,2.0,1.0,2,27.0,82,3,2024-03-04,23:00:00
1536,11.6,45.0,15.0,0.16,2.0,0.0,1,26.0,84,327,2024-03-05,00:00:00
1537,14.3,47.0,12.0,0.28,3.0,0.0,2,26.0,87,335,2024-03-05,01:00:00
1538,14.8,48.0,10.0,0.3,4.0,0.0,2,25.0,89,332,2024-03-05,02:00:00
1539,11.6,40.0,7.0,0.36,5.0,0.0,1,25.0,90,305,2024-03-05,03:00:00
1540,17.9,34.0,4.0,0.38,7.0,0.0,1,24.0,93,324,2024-03-05,04:00:00
1541,13.4,30.0,1.0,0.45,8.0,0.0,1,24.0,93,325,2024-03-05,05:00:00
1542,11.0,31.0,0.0,0.47,9.0,0.0,1,24.0,94,346,2024-03-05,06:00:00
1543,17.8,42.0,2.0,0.49,6.0,0.0,1,25.0,89,15,2024-03-05,07:00:00
1544,25.5,46.0,8.0,0.42,6.0,0.0,1,28.0,77,347,2024-03-05,08:00:00
1545,27.9,74.0,20.0,0.31,3.0,0.0,0,31.0,64,59,2024-03-05,09:00:00
1546,22.0,52.0,27.0,0.24,1.0,0.0,2,34.0,53,37,2024-03-05,10:00:00
1547,21.0,40.0,30.0,0.22,1.0,0.0,3,35.0,50,46,2024-03-05,11:00:00
1548,16.6,44.0,33.0,0.22,1.0,0.0,4,35.0,49,61,2024-03-05,12:00:00
1549,13.6,43.0,37.0,0.23,1.0,0.0,3,35.0,46,52,2024-03-05,13:00:00
1550,14.3,44.0,35.0,0.23,2.29,0.0,3,36.0,44,57,2024-03-05,14:00:00
1551,11.0,37.0,31.0,0.2,2.0,0.14,4,36.0,44,54,2024-03-05,15:00:00
1552,13.1,32.0,22.86,0.39,3.0,2.0,4,35.0,49,58,2024-03-05,16:00:00
1553,13.3,28.0,33.0,0.42,3.0,2.0,3,33.0,55,63,2024-03-05,17:00:00
1554,10.0,26.0,31.0,0.28,3.0,0.0,3,32.0,60,60,2024-03-05,18:00:00
1555,11.1,28.0,30.0,0.27,3.0,1.0,4,30.0,65,63,2024-03-05,19:00:00
1556,18.7,35.0,26.0,0.26,3.0,1.0,3,29.0,70,62,2024-03-05,20:00:00
