,Date,PM25
0,2024-01-01,11.55
1,2024-01-02,11.47
2,2024-01-03,11.34
3,2024-01-04,13.06
4,2024-01-05,24.92
5,2024-01-06,25.12
6,2024-01-07,17.85
7,2024-01-08,17.18
8,2024-01-09,17.44
9,2024-01-10,14.15
10,2024-01-11,15.68
11,2024-01-12,18.56
12,2024-01-13,21.51
13,2024-01-14,23.14
14,2024-01-15,21.52
15,2024-01-16,14.27
16,2024-01-17,23.23
17,2024-01-18,21.65
18,2024-01-19,21.58
19,2024-01-20,21.16
20,2024-01-21,20.67
21,2024-01-22,18.75
22,2024-01-23,8.01
23,2024-01-24,11.71
24,2024-01-25,11.99
25,2024-01-26,18.4
26,2024-01-27,23.11
27,2024-01-28,20.71
28,2024-01-29,22.33
29,2024-01-30,19.45
30,2024-01-31,16.3
31,2024-02-01,14.82
32,2024-02-02,15.59
33,2024-02-03,15.01
34,2024-02-04,14.63
35,2024-02-05,19.77
36,2024-02-06,21.1
37,2024-02-07,19.41
38,2024-02-08,16.48
39,2024-02-09,18.26
40,2024-02-10,15.58
41,2024-02-11,14.02
42,2024-02-12,18.56
43,2024-02-13,16.92
44,2024-02-14,15.59
45,2024-02-15,12.15
46,2024-02-16,15.96
47,2024-02-17,12.94
48,2024-02-18,14.25
49,2024-02-19,10.77
50,2024-02-20,12.7
51,2024-02-21,8.97
52,2024-02-22,8.8
53,2024-02-23,9.82
54,2024-02-24,9.79
55,2024-02-25,12.0
56,2024-02-26,15.56
57,2024-02-27,11.64
58,2024-02-28,11.24
59,2024-02-29,12.92
60,2024-03-01,15.66
61,2024-03-02,14.13
62,2024-03-03,12.02
63,2024-03-04,13.63
64,2024-03-05,16.46
65,2024-03-06,23.1
66,2024-03-07,23.24
67,2024-03-08,23.41
68,2024-03-09,14.42
69,2024-03-12,18.25
70,2024-03-13,17.88
71,2024-03-14,17.4
72,2024-03-15,16.78
73,2024-03-16,17.3
74,2024-03-17,17.31
75,2024-03-18,17.5
76,2024-03-19,17.5
